Location,Carpet Area,Transaction,Furnishing,Bathroom,Balcony,BHK,FlatFloor,TotalFloors,ParkingNumbers,Parking Type,SalePrice(in Crores),state
Ahmedabad,2160.0,Resale,Unfurnished,4.0,4.0,4.0,8.0,14.0,0,Not Available,2.1,Gujarat
Ahmedabad,1305.0,Resale,Semi-Furnished,2.0,2.0,2.0,4.0,4.0,402,Covered,0.37,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,1.0,2.0,2.0,14.0,1,Covered,0.55,Gujarat
Ahmedabad,1200.0,Resale,Furnished,3.0,2.0,3.0,8.0,14.0,1,Covered,1.6,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,4.0,5.0,0,Not Available,1.1,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,3.0,1.0,3.0,2.0,5.0,1,Covered,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,1.0,7.0,103,Covered,1.6,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,3.0,0.0,3.0,1.0,5.0,0,Not Available,1.1,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,1.0,1.0,4.0,5.0,1,Open,0.22,Gujarat
Ahmedabad,630.0,Resale,Unfurnished,1.0,0.0,1.0,1.0,14.0,0,Not Available,0.28,Gujarat
Ahmedabad,3855.0,Resale,Furnished,4.0,1.0,4.0,7.0,7.0,1,Covered,5.21,Gujarat
Ahmedabad,945.0,Resale,Unfurnished,2.0,2.0,2.0,5.0,10.0,0,Not Available,0.6,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,1.0,3.0,1.0,4.0,1,Covered,1.41,Gujarat
Ahmedabad,1800.0,New Property,Semi-Furnished,3.0,2.0,3.0,5.0,7.0,0,Not Available,0.55,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,13.0,13.0,0,Not Available,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,6.0,12.0,0,Not Available,0.0409999999999999,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,5.0,13.0,0,Not Available,0.039,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,6.0,13.0,0,Not Available,0.0409999999999999,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,2.0,12.0,0,Not Available,0.47,Gujarat
Ahmedabad,1235.0,New Property,Furnished,3.0,2.0,3.0,2.0,12.0,1,Covered,0.99,Gujarat
Ahmedabad,1840.0,New Property,Furnished,3.0,2.0,3.0,12.0,12.0,1,Covered,1.15,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,1.0,1.0,5.0,7.0,0,Not Available,0.32,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unknown,3.0,0.0,3.0,1.0,5.0,0,Not Available,0.78,Gujarat
Ahmedabad,4000.0,Resale,Furnished,4.0,2.0,4.0,11.0,12.0,0,Not Available,2.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,1.0,4.0,4.0,4.0,0,Not Available,0.99,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,6.0,0.0,5.0,7.0,12.0,0,Not Available,5.2,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,6.0,0.0,5.0,8.0,12.0,0,Not Available,5.5,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,5.0,0.0,5.0,12.0,12.0,0,Not Available,2.87,Gujarat
Ahmedabad,2500.0,New Property,Furnished,5.0,1.0,4.0,13.0,14.0,4,Covered,5.21,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,2.0,3.0,4.0,4.0,0,Not Available,0.95,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,5.0,0.0,5.0,5.0,14.0,0,Not Available,9.0,Gujarat
Ahmedabad,830.0,Resale,Semi-Furnished,2.0,2.0,2.0,2.0,5.0,0,Not Available,0.48,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,2.0,3.0,4.0,4.0,0,Not Available,0.75,Gujarat
Ahmedabad,721.0,Resale,Unfurnished,2.0,1.0,3.0,5.0,12.0,1,Covered,0.7,Gujarat
Ahmedabad,792.0,Resale,Unfurnished,2.0,1.0,1.0,6.0,7.0,1,Open,0.28,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,1.0,3.0,2.0,3.0,0,Not Available,1.28,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,3.0,0.0,3.0,0.0,6.0,0,Not Available,0.9,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,5.0,0.0,5.0,10.0,10.0,0,Not Available,2.12,Gujarat
Ahmedabad,800.0,Resale,Unfurnished,2.0,0.0,2.0,3.0,7.0,0,Not Available,0.72,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,9.0,13.0,1,Covered,0.58,Gujarat
Ahmedabad,1675.0,Resale,Unfurnished,3.0,2.0,3.0,2.0,5.0,0,Not Available,1.4,Gujarat
Ahmedabad,945.0,Resale,Semi-Furnished,2.0,3.0,2.0,5.0,5.0,0,Not Available,0.4,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,2.0,2.0,4.0,5.0,1,Covered,0.5,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,1.0,3.0,9.0,12.0,2,Covered,1.16,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,1.0,4.0,12,Covered,0.6,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,1.0,2.0,5.0,5.0,0,Not Available,0.55,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,4.0,1.0,4.0,13.0,13.0,1,Covered,1.58,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,5.0,5.0,0,Not Available,1.15,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,2.0,2.0,3.0,5.0,1,Covered,0.68,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,1.0,1.0,2.0,2.0,9.0,1,Covered,0.65,Gujarat
Ahmedabad,1600.0,Resale,Unfurnished,3.0,1.0,3.0,3.0,4.0,0,Not Available,0.85,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,2.0,2.0,2.0,1.0,5.0,0,Not Available,0.27,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,3.0,4.0,0,Not Available,0.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,5.0,6.0,0,Not Available,0.21,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,1.0,2.0,9.0,12.0,0,Not Available,0.51,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,1.0,3.0,3.0,12.0,0,Not Available,0.72,Gujarat
Ahmedabad,1350.0,Resale,Semi-Furnished,3.0,1.0,3.0,2.0,5.0,1,Covered,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,5.0,8.0,0,Not Available,0.73,Gujarat
Ahmedabad,1319.7980741426175,New Property,Furnished,2.0,2.0,2.0,0.0,4.0,0,Not Available,0.75,Gujarat
Ahmedabad,1100.0,Resale,Unfurnished,2.0,2.0,3.0,1.0,3.0,0,Not Available,0.62,Gujarat
Ahmedabad,1150.0,New Property,Unfurnished,3.0,1.0,3.0,8.0,18.0,2,Covered,1.01,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,1.0,3.0,0,Not Available,0.6,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,3.0,6.0,10.0,0,Not Available,0.75,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,9.0,10.0,0,Not Available,0.72,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,3.0,5.0,10.0,0,Not Available,0.75,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,7.0,10.0,0,Not Available,0.8,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,3.0,14.0,0,Not Available,0.53,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,3.0,7.0,0,Not Available,0.4,Gujarat
